"","state","jurisdiction","candidate","county","year","office","party","mode","stage","version","writein","unofficial","source","dataverse","caucus","votes"
"154","New Hampshire","ALSTEAD","KRICHEVSKY","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"155","New Hampshire","ALSTEAD","MOROZ","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"156","New Hampshire","ALSTEAD","PATRICK","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"157","New Hampshire","ALSTEAD","SANDERS","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",164
"158","New Hampshire","ALSTEAD","SCATTER","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"159","New Hampshire","ALSTEAD","SESTAK","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"160","New Hampshire","ALSTEAD","SLOAN","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"161","New Hampshire","ALSTEAD","STEYER","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",16
"162","New Hampshire","ALSTEAD","THISTLE","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"163","New Hampshire","ALSTEAD","TORGESEN","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"164","New Hampshire","ALSTEAD","WARREN","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",45
"165","New Hampshire","ALSTEAD","WELLS","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
